y_actual,y_pred_point,low_90,high_90,covered_90,width_90,low_85,high_85,covered_85,low_80,high_80,covered_80
1061000.0,2840127.773361178,847549.0031248544,6248085.047875172,True,5400536.044750318,1082224.8916998939,5474055.449009609,False,1105045.505304315,4647247.276761824,False
3949722.0,5818189.133610903,1161865.5442192866,15792547.2738356,True,14630681.729616312,1112957.596148279,14929934.943452287,True,1213136.691853036,13177289.61312251,True
3447000.0,3007117.1446662517,1010936.2550436336,5517682.008948552,True,4506745.753904919,1158227.1974294698,5238689.169311019,True,1242065.8758673868,5097490.009268435,True
15088000.0,14365455.675537173,6323125.022395864,41042697.59725041,True,34719572.574854545,7176327.859095561,35716348.27413012,True,7958126.629708165,36363397.363743514,True
3456789.0,5399699.4718900025,996597.8891241249,11281688.842240194,True,10285090.953116069,1106060.2419608063,10475329.393636053,True,1312054.0491304817,9487515.225706132,True
73150000.0,67219395.83386824,21882690.335754994,93291601.65271437,True,71408911.31695938,24306736.682016727,89401895.31468509,True,26484690.227885727,83775481.01380245,True
1675000.0,2636479.799286246,1458315.625809785,5330834.893594203,True,3872519.2677844176,1430313.620431964,4694577.729782074,True,1619678.1361631164,5003710.763050677,True
6669999.0,5695835.856439749,1168259.7322080862,12080363.329707267,True,10912103.59749918,1410341.963879668,11897266.207087558,True,1651389.8178500333,11159768.141366065,True
1092000.0,1591915.3241758037,755562.1509308883,3475485.505019061,True,2719923.3540881723,745637.5441166587,3377045.631057361,True,797978.6277069822,3246868.6235469338,True
1345678.0,980325.1513703313,820406.155587645,3523783.367407568,True,2703377.2118199226,1058164.4681808804,3327576.407235175,True,1064105.6320249273,3129247.744482313,True
709999.0,3979358.102674315,1026064.0342203489,7029282.429637289,False,6003218.39541694,1350097.5393386292,6585329.31979226,False,1514595.5149340823,6435062.276023494,False
36147000.0,22459228.839640547,7485192.477395353,75813033.31218581,True,68327840.83479045,7901306.268934314,53950080.857691325,True,8466046.003115866,48197562.70863842,True
4356000.0,2358051.809444019,1514222.5245042841,6640706.686897588,True,5126484.162393304,1120829.4750598937,6558775.972454572,True,1338604.65881144,5519500.496381208,True
5072000.0,4296092.124076296,1635297.8333626343,6978547.951900353,True,5343250.118537718,1630646.3234668353,6940224.114757883,True,1842557.0506379106,6373003.606986398,True
14678999.0,20156918.326617766,9908698.142057003,33848079.437392436,True,23939381.295335434,10927924.970183654,30614424.540898368,True,11607668.126897557,29941550.888645194,True
4800000.0,8088039.742498838,1018645.4207172574,9994176.701604133,True,8975531.280886875,2225520.777614341,9754634.926750252,True,2717970.78270609,6930373.3993211165,True
19704000.0,39026023.850689165,14161094.199407881,70428946.15650193,True,56267851.95709405,18764338.975289922,68604442.29421332,True,19110206.488308646,66322275.0706066,True
85229000.0,82224390.72507215,31672357.680011068,175577675.62504497,True,143905317.9450339,37022922.412723795,178167236.8159617,True,41716485.949910484,163924476.34000573,True
4100000.0,1828691.2532506683,1102645.63491753,6401245.824680279,True,5298600.189762749,1028588.4635526877,5123964.312521336,True,1336531.5922918469,5028667.31185906,True
100100000.0,80573005.96926828,42556236.738073505,128185799.9599752,True,85629563.22190168,48126509.949207604,115713219.8627329,True,54838767.68692243,113625444.96914864,True
2520000.0,3319862.2942225775,644943.8003047549,13419432.06676327,True,12774488.266458515,1066026.8817004035,8770338.916316887,True,1130538.8958502559,6057713.326607898,True
2987888.0,2911037.6963100075,831148.392296289,5399022.004650047,True,4567873.612353758,1047231.6229673441,5124300.554950467,True,1194766.7548653847,4582331.870837402,True
836000.0,2333609.5725102774,538682.96599449,5393121.555291685,True,4854438.589297195,652167.1226603658,4462673.564955522,True,569877.4650524671,4239454.567578014,True
